data_center_location,geocode_country,geocode_state,region_network,product_name,product_server_type,count,watts
Fresno,US,CA,Daily Backup,Group DDG 2x8-G4 8GB Fat MUX,,55,12375
Dubai,AE,N/A,Business Recovery Services,Ziemann 1250 Chemical Dryer,,55,15125
Cairo,EG,N/A,Legacy DSL,Gannon 2x2-G3 Opteron Server,,55,10725
Chicago,US,IL,Free OS,Gannon 2x2-G1 Opteron Server,,55,12375
Seattle,US,WA,Business Recovery Services,Floodcase 10x10 Lighting Array,,55,15125
New York,US,NY,Secondary Loop,Gannon 2x4-G3 Opteron Server {BT Chassis},,55,12375
San Jose,US,CA,Daily Backup,OSR 2x8-G3 Fat Opteron Server,,55,15125
London Waterloo,GB,N/A,Cloud Data,Zarin 800W HVAC,,55,10450
Fresno,US,CA,Other,Daikent HVAC 403V,,54,540
Dallas,US,TX,Legacy OS,Gordon DFR Drystore Array,,54,14850
San Jose,US,CA,Legacy OS,Floodcase 5x6 Lighting Array,,54,10530
London Waterloo,GB,N/A,Legacy DSL,Gannon 2x2-G3 Opteron Server,,54,10530
Paris 1,FR,N/A,Business Recovery Services,Zarin 800W HVAC,,54,10260
Dallas,US,TX,Other,ECL 8 Bulb LED Array,,53,8480
New York,US,NY,Subscription Backup,ECL 24 Bulb LED Array,,53,6890
Singapore,SG,N/A,Secondary Loop,Gannon 2x4-G4 8G Opteron Server,,53,11925
San Jose,US,CA,Basic Package,Floodcase 5x6 Lighting Array,,52,10140
Den Haag,NL,N/A,Legacy DSL,Floodcase 5x6 Lighting Array,,52,10140
Frankfurt,DE,N/A,Business Recovery Services,Gordon DFR Drystore Array,,52,14300
New York,US,NY,Subscription Backup,Floodcase 5x6 Lighting Array,,52,10140
Santa Clara,US,CA,Business Recovery Services,OSR 2x8-G4 CacheH Opteron Server,,52,11700
Bellevue,US,WA,Subscription Backup,Gannon 1x2-G4 8G Opteron Server {Rev B},,52,6760
Los Angeles,US,CA,Cloud Data,OSR 2x8-G4 CacheH Opteron Server {Upgraded by ZT},,52,11700
Atlanta,US,GA,Business Recovery Services,Floodcase 10x10 Lighting Array,,52,14300
Santa Clara,US,CA,Cloud Data,Group DDG 2x8-G4 8GB SAS CacheH MUX,,52,11700
Fresno,US,CA,Cloud Data,Gordon DFR Drystore Array,,51,14025
San Jose,US,CA,Daily Backup,OSR 2x8-G4 Fat Opteron Server,,51,11475
Singapore,SG,N/A,Business Recovery Services,OSR 2x8-G1 73GB Opteron Server,,51,18360
Odaiba,JP,N/A,Cloud Data,Gordon DFR Drystore Array,,50,13750
Munich,DE,N/A,Business Recovery Services,OSR 2x8-G4 Opteron Server,,50,11250
London Waterloo,GB,N/A,Cloud Data,Gordon DFR Drystore Array,,50,13750
New York,US,NY,Cloud Data,OSR 2x8-G1 Opteron Server,,50,18000
Atlanta,US,GA,Business Recovery Services,OSR 2x8-G4 Opteron Server,,50,11250
Madrid,ES,N/A,Business Recovery Services,Testcorp 6547 Data switch,,49,9310
Dallas,US,TX,Business Recovery Services,Ziemann 1250 Chemical Dryer,,49,13475
Newark,US,NJ,Business Recovery Services,Group DDG 2x8-G4 MUX,,49,11025
Palo Alto,US,CA,Business Recovery Services,OSR 2x8-G4 8G CacheH SAS Opteron Server {Rev B},,49,11025
San Jose,US,CA,Cloud Data,OSR 2x8-G3 Opteron Server {Rev B},,49,13475
Paris 2,FR,N/A,Business Recovery Services,Group DDG 2x8-G4 8GB SAS MUX,,48,10800
Dallas,US,TX,Business Recovery Services,Group DDG 2x8-G4 MUX {Rev B},,48,10800
Munich 2,DE,N/A,Business Recovery Services,Gannon 1x8-G4 Opteron Server,,48,9120
Beijing,CN,N/A,Cloud Data,OSR 2x8-G4 8G Opteron Server,,48,10800
Dubai,AE,N/A,Business Recovery Services,Group DDG 2x8-G4 8GB SAS MUX,,48,10800
Dubai,AE,N/A,Business Recovery Services,Group DDG 2x8-G4 8GB SAS CacheH MUX,,48,10800
Cairo,EG,N/A,Business Recovery Services,OSR 2x8-G4 8G CacheH SAS Opteron Server {Rev B},,48,10800
Richmond,US,VA,Business Recovery Services,Group DDG 2x8-G4 8GB SAS CacheH MUX,,48,10800
San Jose 2,US,CA,Secondary Loop,Floodcase 1x5 Lighting Array,,48,10800
Dallas,US,TX,Subscription Backup,ECL 24 Bulb LED Array,,48,6240
Monterrey,MX,N/A,Business Recovery Services,Dell 2x8-G4 8G CacheH SAS Opteron Server,,48,10800
Pavia,IT,N/A,Business Recovery Services,Zarin 800W HVAC,,48,9120
Palo Alto,US,CA,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX,,48,10800
New York,US,NY,Cloud Data,Group DDG 2x8-G4 8GB SAS CacheH MUX,,48,10800
Bellevue,US,WA,Subscription Backup,Floodcase 5x6 Lighting Array,,48,9360
Bellevue,US,WA,Business Recovery Services,OSR 2x8-G4 Opteron Server {Upgraded by ZT},,48,10800
London Waterloo,GB,N/A,Business Recovery Services,Gordon DFR Drystore Array,,48,13200
Columbus,US,OH,Business Recovery Services,OSR 2x8-G4 8G Opteron Server {Rev B},,48,10800
Seattle,US,WA,Business Recovery Services,OSR 2x8-G4 8G CacheH SAS Opteron Server {Rev B},,48,10800
London South,GB,N/A,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,48,10800
Johannesburg,ZA,N/A,Business Recovery Services,OSR 2x8-G4 8G CacheH SAS Opteron Server {Rev B},,48,10800
Houston,US,TX,Business Recovery Services,Group DDG 2x8-G4 MUX,,47,10575
Los Angeles 2,US,CA,Cloud Data,OSR 2x8-G3 Opteron Server {Rev B},,47,12925
Den Haag,NL,N/A,Business Recovery Services,OSR 2x8-G3 Opteron Server {Rev B},,47,12925
Cairo,EG,N/A,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,47,10575
Cairo,EG,N/A,Business Recovery Services,OSR 2x8-G4 8G Opteron Server,,47,10575
Zurich,CH,N/A,Business Recovery Services,Dell 2x8-G4 8G CacheH SAS Opteron Server,,47,10575
London Central,GB,N/A,Business Recovery Services,Group DDG 2x8-G4 MUX {Rev B},,47,10575
Dallas,US,TX,Other,Gannon 2x6-G1 Opteron Server {Rev B},,47,16920
Roanoke,US,VA,Business Recovery Services,OSR 2x8-G4 CacheH Opteron Server,,47,10575
Chicago,US,IL,Business Recovery Services,OSR 2x8-G3 Opteron Server {Rev A},,47,12925
New York,US,NY,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,47,10575
San Jose,US,CA,Other,HP ProCurve Switch 3400cl-48G,,47,5640
Los Angeles,US,CA,Business Recovery Services,OSR 2x8-G4 Seagate Opteron Server {Upgraded by ZT},,47,10575
Atlanta,US,GA,Cloud Data,Group DDG 2x8-G4 MUX {Rev B},,47,10575
Nagoya,JP,N/A,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,47,10575
Moscow,RU,N/A,Business Recovery Services,OSR 2x8-G4 8G CacheH Opteron Server,,47,10575
Beijing,CN,N/A,Business Recovery Services,Zarin 800W HVAC,,46,8740
Dubai,AE,N/A,Business Recovery Services,Group DDG 2x8-G4 CacheH MUX {Rev B},,46,10350
Dallas,US,TX,Business Recovery Services,OSR 2x8-G3 Opteron Server {Rev B},,46,12650
Marseilles,FR,N/A,Business Recovery Services,OSR 2x8-G4 8G CacheH SAS Opteron Server,,46,10350
Seoul,KR,N/A,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev A},,46,12650
Los Angeles,US,CA,Business Recovery Services,OSR 2x8-G4 Opteron Server {Upgraded by ZT},,46,10350
Tampa,US,FL,Business Recovery Services,Gannon 1x8-G4 Opteron Server {Fujitsu Drive},,45,8550
Dallas,US,TX,Cloud Data,Group DDG 2x8-G4 8GB SAS CacheH MUX,,45,10125
Dallas,US,TX,Business Recovery Services,OSR 2x8-G4 8G CacheH SAS Opteron Server {Rev B},,45,10125
London Waterloo,GB,N/A,Cloud Data,OSR 2x8-G4 Opteron Server {Upgraded by ZT},,45,10125
Tokyo,JP,N/A,Other,IBM x330,,44,4180
Fresno,US,CA,Business Recovery Services,Group DDG 2x8-G4 8GB SAS CacheH MUX,,44,9900
Tampa,US,FL,Business Recovery Services,Group DDG 2x8-G4 8GB SAS MUX,,44,9900
Atlanta,US,GA,Basic Package,Gannon 1x2-G4 8G Opteron Server {Rev B},,44,5720
Dallas,US,TX,Legacy DSL,Gannon 1x2-G4 8G Opteron Server {Rev B},,44,5720
Stockholm,SE,N/A,Business Recovery Services,Group DDG 2x8-G4 MUX {Rev B},,44,9900
Chicago,US,IL,Other,HP ProCurve Switch 3400cl-48G,,44,5280
New York,US,NY,Business Recovery Services,Group DDG 2x8-G4 MUX,,44,9900
Santa Clara,US,CA,Cloud Data,OSR 2x8-G4 CacheH Opteron Server {Upgraded by ZT},,44,9900
San Jose,US,CA,Other,Daikent HVAC 410R,,44,440
New York,US,NY,Other,HP ProCurve Switch 3400cl-48G,,44,5280
Singapore,SG,N/A,Business Recovery Services,OSR 2x8-G1 CacheH Opteron Server,,44,15400
Singapore,SG,N/A,Other,HP ProCurve Switch 2900-48G,,44,7260
Dallas,US,TX,Other,ECL 24 Bulb LED Array,,43,5590
Bellevue,US,WA,Basic Package,ECL 24 Bulb LED Array,,43,5590
Tokyo 2,JP,N/A,Business Recovery Services,Ziemann 1250 Chemical Dryer,,43,11825
Fresno,US,CA,Business Recovery Services,Ziemann 1250 Chemical Dryer,,42,11550
Kyoto,JP,N/A,Business Recovery Services,Gordon DFR Drystore Array,,42,11550
Kyoto,JP,N/A,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,42,11550
Osaka,JP,N/A,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,42,11550
Barcelona,ES,N/A,Business Recovery Services,Group DDG 2x8-G4 8GB SAS CacheH MUX,,42,9450
Dallas,US,TX,Subscription Backup,Floodcase 2x8 Lighting Array,,42,8190
Dallas,US,TX,Basic Package,Gannon 1x2-G4 8G Opteron Server {Rev B},,42,5460
Boulder,US,CO,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,42,11550
Rotterdam,NL,N/A,Business Recovery Services,Gordon DFR Drystore Array,,42,11550
Riverside,US,CA,Business Recovery Services,OSR 2x8-G3 CacheH Opteron Server {Rev B},,42,11550
