tvsTV,tvsType,tvsSize,tvsValue,units,tvsSource,algorithm,default
tv1,Standard,8",0.01097,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,Standard,14-15",0.03858,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,Standard,21",0.07561,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,Standard,24",0.09876,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,Standard,28",0.13241,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,Standard,32",0.17294,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,Standard,36",0.21554,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,8",0.01052,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,15",0.03699,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,20",0.06379,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,23",0.08436,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,26",0.10780,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,32",0.16330,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,37",0.21832,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,40-42",0.25515,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,45-47",0.33744,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,50-52",0.39868,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,55",0.48240,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,60",0.57410,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,LCD,65"+,0.67377,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,Plasma,37",0.24820,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
tv1,Plasma,42-43",0.31981,kW,defra/mtp 2008,value*user_tv_hours*fuel_electricity,
