type,subCategory,flue,efficiencyA,efficiencyB,efficiencyPercentage,heatingType,resonsivenessR,code,rdSap,units,source
No Heating System Present,Electric heaters (assumed),,,,100,1,1,699,rd,,sap 2005
Gas boilers and oil boilers,,,,,,,,,,,sap 2005
Micro-cogeneration (micro -CHP),,,,,,,,,,,sap 2005
Solid Fuel Boilers,Manual feed independent boiler in heated space a),,65,60,,2,0.75,151,rd,,sap 2005
Solid Fuel Boilers,Manual feed independent boiler in unheated space a),,60,55,,2,0.75,152,,,sap 2005
Solid Fuel Boilers,Auto (gravity) feed independent boiler in heated space a),,70,65,,2,0.75,153,,,sap 2005
Solid Fuel Boilers,Auto (gravity) feed independent boiler in unheated space a),,65,60,,2,0.75,154,rd,,sap 2005
Solid Fuel Boilers,Wood chip/pellet independent boiler ,,65,63,,2,0.75,155,,,sap 2005
Solid Fuel Boilers,Open fire with back boiler to radiators,,63,55,,3,0.5,156,rd,,sap 2005
Solid Fuel Boilers,Closed roomheater with boiler to radiators,,67,65,,3,0.5,158,rd,,sap 2005
Solid Fuel Boilers,Stove (pellet-fired) with boiler to radiators ,,65,63,,2,0.75,159,,,sap 2005
Solid Fuel Boilers,Range cooker boiler (integral oven and boiler),,50,45,,3,0.5,160,rd,,sap 2005
Solid Fuel Boilers,Range cooker boiler (independent oven and boiler),,60,55,,3,0.5,161,,,sap 2005
Electric boilers,Direct acting electric boiler,,,,100,1,1,191,rd,,sap 2005
Electric boilers,Electric CPSU in heated space a) – radiators or underfloor,,,,100,2,0.75,192,rd,,sap 2005
Electric boilers,Electric dry core storage boiler in heated space a) b),,,,100,2,0.75,193,rd,,sap 2005
Electric boilers,Electric dry core storage boiler in unheated space a) b),,,,85,2,0.75,194,,,sap 2005
Electric boilers,Electric water storage boiler in heated space a) b),,,,100,2,0.75,195,rd,,sap 2005
Electric boilers,Electric water storage boiler in unheated space a) b),,,,85,2,0.75,196,,,sap 2005
Heat pumps (see also warm air systems),Ground-to-water heat pump (electric),,,,320,0,0,201,rd,,sap 2005
Heat pumps (see also warm air systems),Ground-to-water heat pump with auxiliary heater (electric),,,,300,0,0,202,rd,,sap 2005
Heat pumps (see also warm air systems),Water-to-water heat pump (electric),,,,300,0,0,203,rd,,sap 2005
Heat pumps (see also warm air systems),Air-to-water heat pump (electric),,,,250,0,0,204,rd,,sap 2005
Heat pumps (see also warm air systems),"Gas-fired, ground source",,,,120,0,0,205,,,sap 2005
Heat pumps (see also warm air systems),"Gas-fired, water source",,,,120,0,0,206,,,sap 2005
Heat pumps (see also warm air systems),"Gas-fired, air source",,,,110,0,0,207,,,sap 2005
Community Heating Schemes,Community boilers only,,,,75,1,1,301,rd,,sap 2005
Community Heating Schemes,Community CHP and boilers,,,,75,1,1,302,rd,,sap 2005
Community Heating Schemes,Community waste heat from power station and boilers,,,,75,1,1,303,,,sap 2005
Community Heating Schemes,Community heat pump,,,,300,1,1,304,,,sap 2005
Community Heating Schemes,Community geothermal heat source and boilers,,,,75,1,1,305,,,sap 2005
Electric Storage Systems Off-peak tariffs,Old (large volume) storage heaters,,,,100,5,0,401,rd,,sap 2005
Electric Storage Systems Off-peak tariffs,Modern (slimline) storage heaters,,,,100,4,0.25,402,rd,,sap 2005
Electric Storage Systems Off-peak tariffs,Convector storage heaters,,,,100,4,0.25,403,,,sap 2005
Electric Storage Systems Off-peak tariffs,Fan storage heaters,,,,100,3,0.5,404,rd,,sap 2005
Electric Storage Systems Off-peak tariffs,Modern (slimline) storage heaters with Celect-type control,,,,100,3,0.5,405,,,sap 2005
Electric Storage Systems Off-peak tariffs,Convector storage heaters with Celect-type control,,,,100,3,0.5,406,,,sap 2005
Electric Storage Systems Off-peak tariffs,Fan storage heaters with Celect-type control,,,,100,2,0.75,407,,,sap 2005
Electric Storage Systems Off-peak tariffs,Integrated storage+direct-acting heater,,,,100,2,0.75,408,rd,,sap 2005
Electric Storage Systems 24-hour heating tariff,Modern (slimline) storage heaters,,,,100,3,0.5,402,,,sap 2005
Electric Storage Systems 24-hour heating tariff,Convector storage heaters,,,,100,3,0.5,403,,,sap 2005
Electric Storage Systems 24-hour heating tariff,Fan storage heaters,,,,100,3,0.5,404,,,sap 2005
Electric Storage Systems 24-hour heating tariff,Modern (slimline) storage heaters with Celect-type control,,,,100,2,0.75,405,,,sap 2005
Electric Storage Systems 24-hour heating tariff,Convector storage heaters with Celect-type control,,,,100,2,0.75,406,,,sap 2005
Electric Storage Systems 24-hour heating tariff,Fan storage heaters with Celect-type control,,,,100,2,0.75,407,,,sap 2005
Electric Underfloor Heating Off-peak tariffs,In concrete slab (off-peak only),,,,100,5,0,421,rd,,sap 2005
Electric Underfloor Heating Off-peak tariffs,Integrated (storage+direct-acting),,,,100,4,0.25,422,rd,,sap 2005
Electric Underfloor Heating Off-peak tariffs,Integrated (storage+direct-acting) with low (off-peak) tariff control,,,,100,3,0.5,423,,,sap 2005
Electric Underfloor Heating Standard tariff,In screed above insulation,,,,100,2,0.75,424,rd,,sap 2005
Electric Underfloor Heating Standard tariff,"In timber floor, or immediately below floor covering",,,,100,1,1,425,,,sap 2005
Warm Air Systems,"Gas-fired warm air with fan-assisted flue Ducted, on-off control, pre 1998 ",,,,70,1,1,501,,,sap 2005
Warm Air Systems,"Gas-fired warm air with fan-assisted flue Ducted, on-off control, 1998 or later ",,,,76,1,1,502,rd,,sap 2005
Warm Air Systems,"Gas-fired warm air with fan-assisted flue Ducted, modulating control, pre 1998",,,,72,1,1,503,,,sap 2005
Warm Air Systems,"Gas-fired warm air with fan-assisted flue Ducted, modulating control, 1998 or later",,,,78,1,1,504,,,sap 2005
Warm Air Systems,Gas-fired warm air with fan-assisted flue Roomheater with in-floor ducts ,,,,69,1,1,505,,,sap 2005
Warm Air Systems,"Gas fired warm air with balanced or open flue Ducted or stub-ducted, on-off control, pre 1998 ",,,,70,1,1,506,rd,,sap 2005
Warm Air Systems,"Gas fired warm air with balanced or open flue Ducted or stub-ducted, on-off control, 1998 or later",,,,76,1,1,507,,,sap 2005
Warm Air Systems,"Gas fired warm air with balanced or open flue Ducted or stub-ducted, modulating control, pre 1998",,,,72,1,1,508,,,sap 2005
Warm Air Systems,"Gas fired warm air with balanced or open flue Ducted or stub-ducted, modulating control, 1998 or later",,,,78,1,1,509,,,sap 2005
Warm Air Systems,Gas fired warm air with balanced or open flue Ducted or stub-ducted with flue heat recovery ,,,,85,1,1,510,rd,,sap 2005
Warm Air Systems,Gas fired warm air with balanced or open flue Condensing,,,,81,1,1,511,rd,,sap 2005
Warm Air Systems,Oil-fired warm air Ducted output (on/off control),,,,70,1,1,512,rd,,sap 2005
Warm Air Systems,Oil-fired warm air Ducted output (modulating control) ,,,,72,1,1,513,,,sap 2005
Warm Air Systems,Oil-fired warm air Stub duct system ,,,,70,1,1,514,,,sap 2005
Warm Air Systems,Electric warm air Electricaire system ,,,,100,2,0.75,515,rd,,sap 2005
Warm Air Systems,Heat pumps Ground-to-air heat pump (electric) ,,,,320,1,1,521,rd,,sap 2005
Warm Air Systems,Heat pumps Ground-to-air heat pump with auxiliary heater (electric) ,,,,300,1,1,522,rd,,sap 2005
Warm Air Systems,Heat pumps Water-to-air heat pump (electric),,,,300,1,1,523,rd,,sap 2005
Warm Air Systems,Heat pumps Air-to-air heat pump (electric),,,,250,1,1,524,rd,,sap 2005
Warm Air Systems,"Heat pumps Gas-fired, ground source ",,,,120,1,1,525,,,sap 2005
Warm Air Systems,"Heat pumps Gas-fired, water source ",,,,120,1,1,526,,,sap 2005
Warm Air Systems,"Heat pumps Gas-fired, air source",,,,110,1,1,527,,,sap 2005
Gas (including LPG) room heaters," Gas fire, open flue, pre-1980 (open fronted)",OF,50,50,,1,1,601,rd,,sap 2005
Gas (including LPG) room heaters,"Gas (including LPG) room heaters Gas fire, open flue, pre-1980 (open fronted), with back boiler unit",OF,50,50,,1,1,602,rd,,sap 2005
Gas (including LPG) room heaters,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening",OF,63,64,,1,1,603,rd,,sap 2005
Gas (including LPG) room heaters,"Gas fire, open flue, 1980 or later (open fronted), sitting proud of, and sealed to, fireplace opening, with back boiler unit",OF,63,64,,1,1,604,rd,,sap 2005
Gas (including LPG) room heaters,"Flush fitting Live Fuel Effect gas fire (open fronted), sealed to fireplace opening",OF,40,41,,1,1,605,rd,,sap 2005
Gas (including LPG) room heaters,"Flush fitting Live Fuel Effect gas fire (open fronted), sealed to fireplace opening, with back boiler unit",OF,40,41,,1,1,606,rd,,sap 2005
Gas (including LPG) room heaters,"Flush fitting Live Fuel Effect gas fire (open fronted), fan assisted, sealed to fireplace opening",OF,45,46,,1,1,607,rd,,sap 2005
Gas (including LPG) room heaters,"Gas fire or wall heater, balanced flue",BF,58,60,,1,1,609,rd,,sap 2005
Gas (including LPG) room heaters,"Gas fire, closed fronted, fan assisted",BF,72,73,,1,1,610,rd,,sap 2005
Gas (including LPG) room heaters,Condensing gas fire,BF,85,85,,1,1,611,rd,,sap 2005
Gas (including LPG) room heaters,"Decorative Fuel Effect gas fire, open to chimney",C,20,20,,1,1,612,rd,,sap 2005
Gas (including LPG) room heaters,"Flueless gas fire, secondary heating only",none,90,92,,1,1,613,rd,,sap 2005
Oil Room heaters,"Room heater, pre 2000",OF,,,55,1,1,621,rd,,sap 2005
Oil Room heaters,"Room heater, pre 2000, with boiler (no radiators)",OF,,,65,1,1,622,rd,,sap 2005
Oil Room heaters,"Room heater, 2000 or later",OF,,,60,1,1,623,rd,,sap 2005
Oil Room heaters,"Room heater, 2000 or later with boiler (no radiators)",OF,,,70,1,1,624,rd,,sap 2005
Solid fuel room heaters,Open fire in grate,C,37,32,,3,0.5,631,rd,,sap 2005
Solid fuel room heaters,Open fire with back boiler (no radiators),C,50,50,,3,0.5,632,rd,,sap 2005
Solid fuel room heaters,Closed room heater,OF,65,60,,3,0.5,633,rd,,sap 2005
Solid fuel room heaters,Closed room heater with boiler (no radiators),OF,67,65,,3,0.5,634,rd,,sap 2005
Solid fuel room heaters,Stove (pellet fired),OF,65,63,,2,0.75,635,,,sap 2005
Solid fuel room heaters,Stove (pellet fired) with boiler (no radiators),OF,65,63,,2,0.75,636,,,sap 2005
Electric (direct acting) room heaters,"Panel, convector or radiant heaters",,,,100,1,1,691,rd,,sap 2005
Electric (direct acting) room heaters,Fan heaters,,,,100,1,1,692,rd,,sap 2005
Electric (direct acting) room heaters,Portable electric heaters,,,,100,1,1,693,rd,,sap 2005
Other Space Heating Systems,Electric ceiling heating,,,,100,2,0.75,701,rd,,sap 2005
Hot Water Systems,No hot water system present - electric immersion assumed,,,,100,,,999,rd,,sap 2005
Hot Water Systems,From main heating system,,,,,,,901,rd,,sap 2005
Hot Water Systems,From secondary system,,,,,,,902,rd,,sap 2005
Hot Water Systems,Electric immersion (on-peak or off-peak),,,,100,,,903,rd,,sap 2005
Hot Water Systems,"*Back boiler (hot water only), gas",,,,65,,,904,rd,,sap 2005
Hot Water Systems,"*From a circulator built into a gas warm air system, pre 1998",,,,65,,,905,rd,,sap 2005
Hot Water Systems,"*From a circulator built into a gas warm air system, 1998 or later",,,,73,,,906,rd,,sap 2005
Hot Water Systems,Single-point gas water heater (instantaneous at point of use),,,,70,,,907,rd,,sap 2005
Hot Water Systems,Multi-point gas water heater (instantaneous serving several taps),,,,65,,,908,,,sap 2005
Hot Water Systems,Electric instantaneous at point of use,,,,100,,,909,,,sap 2005
Hot Water Systems,Gas boiler/circulator for water heating only,,,,65,,,911,,,sap 2005
Hot Water Systems,Oil boiler/circulator for water heating only,,,,70,,,912,,,sap 2005
Hot Water Systems,Range cooker with boiler for water heating only,,,,,,,913,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Gas, single burner with permanent pilot",,,,46,,,921,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Gas, single burner with automatic ignition",,,,50,,,922,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Gas, twin burner with permanent pilot pre 1998",,,,60,,,923,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Gas, twin burner with automatic ignition pre 1998",,,,65,,,924,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Gas, twin burner with permanent pilot 1998 or later",,,,65,,,925,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Gas, twin burner with automatic ignition 1998 or later",,,,70,,,926,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Oil, single burner ",,,,60,,,927,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Oil, twin burner pre 1998",,,,70,,,928,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Oil, twin burner 1998 or later",,,,75,,,929,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Solid fuel, integral oven and boiler",,,,45,,,930,,,sap 2005
Hot Water Systems,"Range cooker with boiler for water heating only Solid fuel, independent oven and boiler",,,,55,,,931,,,sap 2005
Hot Water Systems,From hot-water only community scheme - boilers,,,,75,,,950,,,sap 2005
Hot Water Systems,From hot-water only community scheme - CHP ,,,,75,,,951,,,sap 2005
Hot Water Systems,From hot-water only community scheme - heat pump,,,,300,,,952,,,sap 2005
