name,Wall UValues England Wales By Age Band,,,
algFile,perMonth.js,,,
name,path,type,isDataItemValue,isDrillDown
Wall Uvalues England Wales Age Band A,wallUvaluesEnglandWalesAgeBandA,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band B,wallUvaluesEnglandWalesAgeBandB,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band C,wallUvaluesEnglandWalesAgeBandC,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band D,wallUvaluesEnglandWalesAgeBandD,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band E,wallUvaluesEnglandWalesAgeBandE,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band F,wallUvaluesEnglandWalesAgeBandF,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band G,wallUvaluesEnglandWalesAgeBandG,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band H,wallUvaluesEnglandWalesAgeBandH,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band I,wallUvaluesEnglandWalesAgeBandI,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band J,wallUvaluesEnglandWalesAgeBandJ,DECIMAL,TRUE,FALSE
Wall Uvalues England Wales Age Band K,wallUvaluesEnglandWalesAgeBandK,DECIMAL,TRUE,FALSE
Source,source,TEXT,TRUE,FALSE
Type,type,TEXT,TRUE,TRUE
