transportType,transportStyle,transportFuel,transportSize,transportKgCO2PerKm,transportKgCO2PerPassengerJourney,units,transportSource,algorithm,default,,,,,
Car1,-,Petrol,Small,0.183,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan07",value*user_distance*user_multipliers,,,,,,
Car1,-,Petrol,Medium,0.216,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan08",value*user_distance*user_multipliers,default,,,,,
Car1,-,Petrol,Large,0.296,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan09",value*user_distance*user_multipliers,,,,,,
Car1,-,Diesel,Small,0.151,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan08",value*user_distance*user_multipliers,,,,,,
Car1,-,Diesel,Medium,0.188,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan08",value*user_distance*user_multipliers,,,,,,
Car1,-,Diesel,Large,0.264,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan09",value*user_distance*user_multipliers,,,,,,
Car1,-,Petrol Hybrid,Medium,0.126,0,kgCO2/km ,VCA CO2 database is source of original gCO2/km data,value*user_distance*user_multipliers,,,,,,
Car1,-,Petrol Hybrid,Large,0.224,0,kgCO2/km ,VCA CO2 database is source of original gCO2/km data,value*user_distance*user_multipliers,,,,,,
Car1,-,Petrol,Fuel consumption,0.000,0,-,User,fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Car1,-,Petrol Hybrid,Fuel consumption,0.000,0,-,User,fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Car1,-,Diesel,Fuel consumption,0.000,0,-,User,fuel_diesel*user_distance/user_kmPerLitre,,,,,,
Car1,-,Petrol,Fuel manufacturer consumption,0.000,0,-,User,1.15*fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Car1,-,Petrol Hybrid,Fuel manufacturer consumption,0.000,0,-,User,1.15*fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Car1,-,Diesel,Fuel manufacturer consumption,0.000,0,-,User,1.15*fuel_diesel*user_distance/user_kmPerLitre,,,,,,
Motorcycle1,-,Petrol,Small,0.073,0,kgCO2/km ,Reproduced from ACEM / EC JRC,value*user_distance*user_multipliers,,,,,,
Motorcycle1,-,Petrol,Medium,0.094,0,kgCO2/km ,Reproduced from ACEM / EC JRC,value*user_distance*user_multipliers,,,,,,
Motorcycle1,-,Petrol,Large,0.129,0,kgCO2/km ,Reproduced from ACEM / EC JRC,,,,,,,
Motorcycle1,-,Petrol,Fuel consumption,0.000,0,-,User,fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Motorcycle1,-,Petrol,Fuel manufacturer consumption,0.000,0,-,User,1.15*fuel_petrol*user_distance/user_kmPerLitre,,,,,,
Car2,-,Petrol,Small,0.183,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan07",value*user_distance*user_multipliers,,,,,,
Car2,-,Petrol,Medium,0.216,0,kgCO2/km ,"NAEI / Company Reporting Guidelines, Data emailed from defra to AJC jan08",value*user_distance*user_multipliers,default,,,,,
