1,Mozambique,78
2,Togo,75
3,Bosnia and Herzegovina,74
4,Belize,73
5,Equatorial Guinea,68
6,Sudan,68
7,Ethiopia,67
8,Brunei,65
9,Turkmenistan,64
10,Benin,61
11,Albania,58
12,Oman,58
13,Vietnam,57
14,Cape Verde,55
15,Saint Helena,52
16,Burma (Myanmar),51
17,China,51
18,Maldives,51
19,Madagascar,50
20,Namibia,50
21,Saint Lucia,49
22,Trinidad and Tobago,49
23,Honduras,48
24,Bangladesh,47
25,Tanzania,47
26,Nepal,44
27,Iran,44
28,Congo (Brazzaville),44
29,Ghana,44
30,Guatemala,44
31,Seychelles,43
32,Qatar,43
33,Hong Kong,43
34,Angola,43
35,Papua New Guinea,43
36,Kiribati,42
37,Puerto Rico,42
38,Bolivia,41
39,Uganda,41
40,Saudi Arabia,41
41,Bahrain,41
42,Mauritius,40
43,Yemen,40
44,Asia & Oceania,39
45,"Virgin Islands, British",39
46,Montserrat,39
47,Saint Vincent/Grenadines,38
48,Vanuatu,38
49,Grenada,38
50,Aruba,38
51,Middle East,38
52,Haiti,38
53,Malaysia,38
54,Guyana,37
55,Laos,36
56,Sri Lanka,36
57,Tajikistan,36
58,Nicaragua,36
59,India,35
60,Macau,35
61,Spain,34
62,Kuwait,34
63,Burkina Faso,34
64,Taiwan,34
65,"Virgin Islands,  U.S.",34
66,Kazakhstan,33
67,Dominican Republic,33
68,Reunion,33
69,Cook Islands,32
70,Ireland,32
71,Niue,32
72,Fiji,32
73,Senegal,31
74,United Arab Emirates,31
75,Kenya,31
76,Thailand,31
77,Singapore,30
78,El Salvador,30
79,New Caledonia,30
80,Barbados,30
81,Chile,30
82,Sierra Leone,29
83,Mali,29
84,"Gambia, The",29
85,"Bahamas, The",29
86,Jordan,28
87,Egypt,28
88,Antigua and Barbuda,28
89,Turkey,28
90,Paraguay,28
91,Botswana,27
92,Gibraltar,27
93,Australia,27
94,Luxembourg,27
95,Liberia,27
96,Tunisia,27
97,Comoros,26
98,Israel,26
99,Western Sahara,26
100,Suriname,25
101,Saint Kitts and Nevis,25
102,Malawi,25
103,Cyprus,24
104,Pakistan,24
105,Mexico,24
106,French Polynesia,23
107,Somalia,23
108,Ecuador,22
109,Costa Rica,22
110,Iraq,22
111,Uruguay,22
112,Libya,22
113,World Total,22
114,"Korea, South",22
115,Bermuda,21
116,Portugal,21
117,Lesotho,21
118,Morocco,21
119,Central & South America,21
120,Guinea-Bissau,20
121,Falkland Islands (Islas Malvinas),20
122,Swaziland,20
123,Armenia,20
124,Iceland,20
125,Sao Tome and Principe,20
126,Africa,20
127,Cambodia,20
128,Argentina,20
129,South Africa,20
130,Guadeloupe,19
131,Greece,19
132,Bhutan,19
133,Solomon Islands,19
134,Samoa,19
135,Cayman Islands,19
136,Croatia,19
137,Brazil,19
138,Syria,17
139,Chad,17
140,Tonga,17
141,Dominica,17
142,Philippines,17
143,Jamaica,16
144,Malta,16
145,New Zealand,15
146,Indonesia,15
147,Martinique,15
148,Canada,15
149,Austria,15
150,Rwanda,15
151,Uzbekistan,14
152,Zambia,14
153,Peru,14
154,Panama,14
155,Greenland,13
156,Venezuela,12
157,Netherlands,12
158,Norway,12
159,Antarctica,11
160,Guinea,10
161,French Guiana,10
162,Nauru,10
163,Central African Republic,10
164,Italy,9
165,Djibouti,9
166,Algeria,9
167,Cote d'Ivoire (IvoryCoast),9
168,Japan,9
169,Finland,9
170,North America,8
171,Colombia,8
172,Niger,8
173,Lebanon,8
174,Belarus,7
175,"Korea, North",7
176,Eurasia,7
177,United States,7
178,France,6
179,American Samoa,6
180,Cameroon,5
181,Russia,5
182,Europe,5
183,Slovenia,5
184,Former Serbia and Montenegro,5
185,Wake Island,4
186,Faroe Islands,4
187,Burundi,3
188,Belgium,3
189,Azerbaijan,2
190,Switzerland,1
191,Nigeria,-1
192,United Kingdom,-1
193,Lithuania,-1
194,Hungary,-1
195,U.S. Pacific Islands,-2
196,Saint Pierre and Miquelon,-3
197,Mongolia,-3
198,Germany,-4
199,Netherlands Antilles,-5
200,Estonia,-5
201,Cuba,-6
202,Bulgaria,-9
203,Ukraine,-11
204,Latvia,-13
205,Poland,-14
206,Mauritania,-15
207,Czech Republic,-15
208,Slovakia,-15
209,Sweden,-18
210,Georgia,-22
211,Denmark,-23
212,Moldova,-25
213,Gabon,-28
214,Romania,-28
215,Macedonia,-38
216,Kyrgyzstan,-43
217,Zimbabwe,-46
218,Eritrea,-51
219,Congo (Kinshasa),-54
220,Guam,-70
221,Afghanistan,-84
