176,Bermuda,0.53,0.46,0.49,0.52,0.50,0.50,0.50,0.71,0.77,0.94,0.66,0.55,0.45,0.52,0.51,0.51,0.52,0.52,0.52,0.52,0.52,0.52,0.52,0.56,0.61,0.63,1,10.07,27%,5%
7,Canada,458.35,443.01,424.26,411.69,434.78,444.80,429.08,446.62,479.54,494.05,474.83,467.37,485.09,486.99,498.82,510.81,521.98,548.96,554.36,567.82,565.22,553.55,573.25,602.46,614.69,632.01,614,18.81,18%,-3%
179,Greenland,0.01,0.01,0.00,0.00,0.00,NA,NA,NA,NA,NA,NA,NA,0.50,0.52,0.52,0.52,0.53,0.54,0.55,0.55,0.56,0.58,0.58,0.59,0.59,0.60,1,10.85,16%,2%
13,Mexico,240.43,266.61,282.25,260.90,279.26,280.83,267.64,277.84,277.00,290.94,302.35,309.99,313.55,317.06,336.62,321.57,332.91,349.75,371.59,363.83,383.44,380.29,383.77,389.07,384.75,406.53,436,4.05,31%,7%
207,Saint Pierre and Miquelon,0.15,0.15,0.13,0.15,0.14,0.13,0.17,0.22,0.23,0.27,0.26,0.25,0.23,0.13,0.13,0.09,0.09,0.06,0.07,0.07,0.08,0.07,0.07,0.08,0.08,0.08,0.1,11.87,-3%,1%
2,United States,"4,788.65","4,666.19","4,421.14","4,384.34","4,631.39","4,618.13","4,628.86","4,792.36","5,013.42","5,087.94","5,028.46","4,981.65","5,079.53","5,189.10","5,267.00","5,323.97","5,511.50","5,591.68","5,619.66","5,682.26","5,860.38","5,762.33","5,823.80","5,877.73","5,969.28","5,994.29","5,903",19.78,7%,-2%
,North America,"5,488.11","5,376.43","5,128.28","5,057.60","5,346.08","5,344.38","5,326.25","5,517.75","5,770.97","5,874.14","5,806.56","5,759.80","5,879.35","5,994.32","6,103.61","6,157.47","6,367.52","6,491.51","6,546.75","6,615.05","6,810.19","6,697.34","6,782.00","6,870.49","6,970.01","7,034.15","6,954",15.85,9%,-1%
193,Antarctica,0.14,0.14,0.15,0.14,0.18,0.20,0.20,0.20,0.21,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.24,0.24,0.25,0.3,NA,12%,1%
175,Antigua and Barbuda,0.41,0.36,0.49,0.29,0.32,0.31,0.32,0.39,0.40,0.40,0.42,0.41,0.42,0.44,0.46,0.48,0.48,0.49,0.49,0.49,0.51,0.51,0.51,0.55,0.59,0.65,1,9.60,39%,3%
28,Argentina,92.87,90.20,96.48,98.24,103.84,97.47,103.55,110.14,111.69,112.54,102.69,108.89,109.94,119.89,116.58,119.84,130.16,130.37,136.11,140.12,138.42,128.37,121.21,134.19,140.86,151.93,162,4.06,25%,7%
