type,englandWales,scotland,northernIreland,unit,source
A,before 1900,before 1919,before 1919,,sap 2005
B,1900-1929,1919-1929,1919-1929,,sap 2005
C,1930-1949,1930-1949,1930-1949,,sap 2005
D,1950-1966,1950-1964,1950-1973,,sap 2005
E,1967-1975,1965-1975,1974-1977,,sap 2005
F,1976-1982,1976-1983,1978-1985,,sap 2005
G,1983-1990,1984-1991,1986-1991,,sap 2005
H,1991-1995,1992-1998,1992-1999,,sap 2005
I,1996-2002,1999-2002,2000-2006,,sap 2005
J,2003-2006,2003-2007,(not applicable),,sap 2005
K,2007 onwards,2008 onwards,2007 onwards,,sap 2005
