country,kgCO2PerkWh,kgCO2PerkWhGHG,units,source,
Africa,0.643,0.64274,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Albania,0.03,0.03444,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Algeria,0.7,0.67094,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Angola,0.373,0.34275,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Argentina,0.275,0.30645,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Armenia,0.148,0.13833,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Asia (excluding China),0.71,0.7283,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Australia,0.868,0.87331,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Austria,0.224,0.22487,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Azerbaijan,0.524,0.50485,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Bahrain,0.883,0.8901,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Bangladesh,0.572,0.55688,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Belarus,0.294,0.29883,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Belgium,0.274,0.26796,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Benin,0.863,0.70993,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Bolivia,0.456,0.48135,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Botswana,-,1.84769,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Brazil,0.078,0.08422,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Brunei Darussalam,0.804,0.78883,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Bulgaria,0.472,0.448,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Cambodia,-,1.20593,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Cameroon,0.031,0.0391,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Canada,0.224,0.19866,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Chile,0.279,0.35748,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
China (including Hong Kong),0.772,0.78813,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Chinese Taipei,0.633,0.63168,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Colombia,0.153,0.16319,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
Congo,0,0,kgCO2/kWh,WBCSD 2006,value*user_electricity_kWh
