,,,,,,,,,,,,,,,,,,
,"Data and listings used in the calculation of N2O emissions",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
"Table XX. The base N2O emission factors supplied by IPCC, diferentiated by sector",,,,,,,,,,,,,,,,,,
,,"Default EFs for N20 (kg N2O/ TJ fuel). LHV/NCV basis",,,,,,,,,,,,,,,,
,"Energy",,"Manufacturing",,"Construction",,"Commercial",,"Institutional",,"Residential",,"Agriculture",,"Forestry",,"Fisheries",
,"Crude oil",6.00E-001,"Crude oil",6.00E-001,"Crude oil",6.00E-001,"Crude oil",6.00E-001,"Crude oil",6.00E-001,"Crude oil",6.00E-001,"Crude oil",6.00E-001,"Crude oil",6.00E-001,"Crude oil",6.00E-001
,"Orimulsion",6.00E-001,"Orimulsion",6.00E-001,"Orimulsion",6.00E-001,"Orimulsion",6.00E-001,"Orimulsion",6.00E-001,"Orimulsion",6.00E-001,"Orimulsion",6.00E-001,"Orimulsion",6.00E-001,"Orimulsion",6.00E-001
,"Natural Gas Liquids",6.00E-001,"Natural Gas Liquids",6.00E-001,"Natural Gas Liquids",6.00E-001,"Natural Gas Liquids",6.00E-001,"Natural Gas Liquids",6.00E-001,"Natural Gas Liquids",6.00E-001,"Natural Gas Liquids",6.00E-001,"Natural Gas Liquids",6.00E-001,"Natural Gas Liquids",6.00E-001
,"Motor gasoline",6.00E-001,"Motor gasoline",6.00E-001,"Motor gasoline",6.00E-001,"Motor gasoline",6.00E-001,"Motor gasoline",6.00E-001,"Motor gasoline",6.00E-001,"Motor gasoline",6.00E-001,"Motor gasoline",6.00E-001,"Motor gasoline",6.00E-001
,"Aviation gasoline",6.00E-001,"Aviation gasoline",6.00E-001,"Aviation gasoline",6.00E-001,"Aviation gasoline",6.00E-001,"Aviation gasoline",6.00E-001,"Aviation gasoline",6.00E-001,"Aviation gasoline",6.00E-001,"Aviation gasoline",6.00E-001,"Aviation gasoline",6.00E-001
,"Jet gasoline",6.00E-001,"Jet gasoline",6.00E-001,"Jet gasoline",6.00E-001,"Jet gasoline",6.00E-001,"Jet gasoline",6.00E-001,"Jet gasoline",6.00E-001,"Jet gasoline",6.00E-001,"Jet gasoline",6.00E-001,"Jet gasoline",6.00E-001
,"Jet kerosene",6.00E-001,"Jet kerosene",6.00E-001,"Jet kerosene",6.00E-001,"Jet kerosene",6.00E-001,"Jet kerosene",6.00E-001,"Jet kerosene",6.00E-001,"Jet kerosene",6.00E-001,"Jet kerosene",6.00E-001,"Jet kerosene",6.00E-001
,"Other kerosene",6.00E-001,"Other kerosene",6.00E-001,"Other kerosene",6.00E-001,"Other kerosene",6.00E-001,"Other kerosene",6.00E-001,"Other kerosene",6.00E-001,"Other kerosene",6.00E-001,"Other kerosene",6.00E-001,"Other kerosene",6.00E-001
,"Shale oil",6.00E-001,"Shale oil",6.00E-001,"Shale oil",6.00E-001,"Shale oil",6.00E-001,"Shale oil",6.00E-001,"Shale oil",6.00E-001,"Shale oil",6.00E-001,"Shale oil",6.00E-001,"Shale oil",6.00E-001
,"Gas/Diesel oil",6.00E-001,"Gas/Diesel oil",6.00E-001,"Gas/Diesel oil",6.00E-001,"Gas/Diesel oil",6.00E-001,"Gas/Diesel oil",6.00E-001,"Gas/Diesel oil",6.00E-001,"Gas/Diesel oil",6.00E-001,"Gas/Diesel oil",6.00E-001,"Gas/Diesel oil",6.00E-001
,"Residual fuel oil",6.00E-001,"Residual fuel oil",6.00E-001,"Residual fuel oil",6.00E-001,"Residual fuel oil",6.00E-001,"Residual fuel oil",6.00E-001,"Residual fuel oil",6.00E-001,"Residual fuel oil",6.00E-001,"Residual fuel oil",6.00E-001,"Residual fuel oil",6.00E-001
,"Liquified Petroleum Gases",1.00E-001,"Liquified Petroleum Gases",1.00E-001,"Liquified Petroleum Gases",1.00E-001,"Liquified Petroleum Gases",1.00E-001,"Liquified Petroleum Gases",1.00E-001,"Liquified Petroleum Gases",1.00E-001,"Liquified Petroleum Gases",1.00E-001,"Liquified Petroleum Gases",1.00E-001,"Liquified Petroleum Gases",1.00E-001
,"Ethane",1.00E-001,"Ethane",1.00E-001,"Ethane",1.00E-001,"Ethane",1.00E-001,"Ethane",1.00E-001,"Ethane",1.00E-001,"Ethane",1.00E-001,"Ethane",1.00E-001,"Ethane",1.00E-001
,"Naphtha",6.00E-001,"Naphtha",6.00E-001,"Naphtha",6.00E-001,"Naphtha",6.00E-001,"Naphtha",6.00E-001,"Naphtha",6.00E-001,"Naphtha",6.00E-001,"Naphtha",6.00E-001,"Naphtha",6.00E-001
,"Bitumen",6.00E-001,"Bitumen",6.00E-001,"Bitumen",6.00E-001,"Bitumen",6.00E-001,"Bitumen",6.00E-001,"Bitumen",6.00E-001,"Bitumen",6.00E-001,"Bitumen",6.00E-001,"Bitumen",6.00E-001
,"Lubricants",6.00E-001,"Lubricants",6.00E-001,"Lubricants",6.00E-001,"Lubricants",6.00E-001,"Lubricants",6.00E-001,"Lubricants",6.00E-001,"Lubricants",6.00E-001,"Lubricants",6.00E-001,"Lubricants",6.00E-001
,"Petroleum coke",6.00E-001,"Petroleum coke",6.00E-001,"Petroleum coke",6.00E-001,"Petroleum coke",6.00E-001,"Petroleum coke",6.00E-001,"Petroleum coke",6.00E-001,"Petroleum coke",6.00E-001,"Petroleum coke",6.00E-001,"Petroleum coke",6.00E-001
,"Refinery feedstocks",6.00E-001,"Refinery feedstocks",6.00E-001,"Refinery feedstocks",6.00E-001,"Refinery feedstocks",6.00E-001,"Refinery feedstocks",6.00E-001,"Refinery feedstocks",6.00E-001,"Refinery feedstocks",6.00E-001,"Refinery feedstocks",6.00E-001,"Refinery feedstocks",6.00E-001
,"Refinery gas",1.00E-001,"Refinery gas",1.00E-001,"Refinery gas",1.00E-001,"Refinery gas",1.00E-001,"Refinery gas",1.00E-001,"Refinery gas",1.00E-001,"Refinery gas",1.00E-001,"Refinery gas",1.00E-001,"Refinery gas",1.00E-001
,"Paraffin waxes",6.00E-001,"Paraffin waxes",6.00E-001,"Paraffin waxes",6.00E-001,"Paraffin waxes",6.00E-001,"Paraffin waxes",6.00E-001,"Paraffin waxes",6.00E-001,"Paraffin waxes",6.00E-001,"Paraffin waxes",6.00E-001,"Paraffin waxes",6.00E-001
,"White Spirit/SBP",6.00E-001,"White Spirit/SBP",6.00E-001,"White Spirit/SBP",6.00E-001,"White Spirit/SBP",6.00E-001,"White Spirit/SBP",6.00E-001,"White Spirit/SBP",6.00E-001,"White Spirit/SBP",6.00E-001,"White Spirit/SBP",6.00E-001,"White Spirit/SBP",6.00E-001
,"Other petroleum products",6.00E-001,"Other petroleum products",6.00E-001,"Other petroleum products",6.00E-001,"Other petroleum products",6.00E-001,"Other petroleum products",6.00E-001,"Other petroleum products",6.00E-001,"Other petroleum products",6.00E-001,"Other petroleum products",6.00E-001,"Other petroleum products",6.00E-001
,"Anthracite",1.50E+000,"Anthracite",1.50E+000,"Anthracite",1.50E+000,"Anthracite",1.50E+000,"Anthracite",1.50E+000,"Anthracite",1.50E+000,"Anthracite",1.50E+000,"Anthracite",1.50E+000,"Anthracite",1.50E+000
,"Coking coal",1.50E+000,"Coking coal",1.50E+000,"Coking coal",1.50E+000,"Coking coal",1.50E+000,"Coking coal",1.50E+000,"Coking coal",1.50E+000,"Coking coal",1.50E+000,"Coking coal",1.50E+000,"Coking coal",1.50E+000
,"Other bituminous coal",1.50E+000,"Other bituminous coal",1.50E+000,"Other bituminous coal",1.50E+000,"Other bituminous coal",1.50E+000,"Other bituminous coal",1.50E+000,"Other bituminous coal",1.50E+000,"Other bituminous coal",1.50E+000,"Other bituminous coal",1.50E+000,"Other bituminous coal",1.50E+000
,"Sub bituminous coal",1.50E+000,"Sub bituminous coal",1.50E+000,"Sub bituminous coal",1.50E+000,"Sub bituminous coal",1.50E+000,"Sub bituminous coal",1.50E+000,"Sub bituminous coal",1.50E+000,"Sub bituminous coal",1.50E+000,"Sub bituminous coal",1.50E+000,"Sub bituminous coal",1.50E+000
,"Lignite",1.50E+000,"Lignite",1.50E+000,"Lignite",1.50E+000,"Lignite",1.50E+000,"Lignite",1.50E+000,"Lignite",1.50E+000,"Lignite",1.50E+000,"Lignite",1.50E+000,"Lignite",1.50E+000
,"Oil shale and tar sands",1.50E+000,"Oil shale and tar sands",1.50E+000,"Oil shale and tar sands",1.50E+000,"Oil shale and tar sands",1.50E+000,"Oil shale and tar sands",1.50E+000,"Oil shale and tar sands",1.50E+000,"Oil shale and tar sands",1.50E+000,"Oil shale and tar sands",1.50E+000,"Oil shale and tar sands",1.50E+000
,"Brown coal briquettes",1.50E+000,"Brown coal briquettes",1.50E+000,"Brown coal briquettes",1.50E+000,"Brown coal briquettes",1.50E+000,"Brown coal briquettes",1.50E+000,"Brown coal briquettes",1.50E+000,"Brown coal briquettes",1.50E+000,"Brown coal briquettes",1.50E+000,"Brown coal briquettes",1.50E+000
,"Patent fuel",1.50E+000,"Patent fuel",1.50E+000,"Patent fuel",1.50E+000,"Patent fuel",1.50E+000,"Patent fuel",1.50E+000,"Patent fuel",1.50E+000,"Patent fuel",1.50E+000,"Patent fuel",1.50E+000,"Patent fuel",1.50E+000
,"Coke oven coke",1.50E+000,"Coke oven coke",1.50E+000,"Coke oven coke",1.50E+000,"Coke oven coke",1.50E+000,"Coke oven coke",1.50E+000,"Coke oven coke",1.50E+000,"Coke oven coke",1.50E+000,"Coke oven coke",1.50E+000,"Coke oven coke",1.50E+000
,"Lignite coke",1.50E+000,"Lignite coke",1.50E+000,"Lignite coke",1.50E+000,"Lignite coke",1.50E+000,"Lignite coke",1.50E+000,"Lignite coke",1.50E+000,"Lignite coke",1.50E+000,"Lignite coke",1.50E+000,"Lignite coke",1.50E+000
,"Gas coke",1.00E-001,"Gas coke",1.00E-001,"Gas coke",1.00E-001,"Gas coke",1.00E-001,"Gas coke",1.00E-001,"Gas coke",1.00E-001,"Gas coke",1.00E-001,"Gas coke",1.00E-001,"Gas coke",1.00E-001
,"Coal tar",1.50E+000,"Coal tar",1.50E+000,"Coal tar",1.50E+000,"Coal tar",1.50E+000,"Coal tar",1.50E+000,"Coal tar",1.50E+000,"Coal tar",1.50E+000,"Coal tar",1.50E+000,"Coal tar",1.50E+000
,"Gas works gas",1.00E-001,"Gas works gas",1.00E-001,"Gas works gas",1.00E-001,"Gas works gas",1.00E-001,"Gas works gas",1.00E-001,"Gas works gas",1.00E-001,"Gas works gas",1.00E-001,"Gas works gas",1.00E-001,"Gas works gas",1.00E-001
,"Coke oven gas",1.00E-001,"Coke oven gas",1.00E-001,"Coke oven gas",1.00E-001,"Coke oven gas",1.00E-001,"Coke oven gas",1.00E-001,"Coke oven gas",1.00E-001,"Coke oven gas",1.00E-001,"Coke oven gas",1.00E-001,"Coke oven gas",1.00E-001
