appliancesDevice,appliancesRating,appliancesAge,appliancesKWhPerYear,appliancesKWhPerCycle,units,appliancesSource,algorithm,default
Fridge1,A++,-,90.903,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge1,A+,-,138.282,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge1,A,-,176.733,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge1,B,-,216.903,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Fridge1,C,-,244.838,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge1,D,-,277.948,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge1,E,-,299.665,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge1,F,-,299.665,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge1,G,-,530.199,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge1,Other,up to 12 years,176.77,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge1,Other,over 12 years,265.64,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,A++,-,206,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,A+,-,270,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,A,-,408.076,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,B,-,465,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,C,-,609.317,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,D,-,410.923,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,E,-,591.3,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,F,-,711.75,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,G,-,821.25,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer1,Other,up to 12 years,372.505,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Fridge/Freezer1,Other,over 12 years,592.781,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Chest/upright Freezer1,A++,-,175,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,A+,-,221.242,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,A,-,222.162,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,B,-,290.808,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,C,-,347.333,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,D,-,450.162,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,E,-,389.705,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,F,-,644.826,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,G,-,433,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,Other,up to 12 years,292.377,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Chest/upright Freezer1,Other,over 12 years,445.431,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,A++,-,90.903,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,A+,-,138.282,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,A,-,176.733,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,B,-,216.903,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,default
Fridge2,C,-,244.838,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,D,-,277.948,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,E,-,299.665,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,F,-,299.665,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,G,-,530.199,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,Other,up to 12 years,176.77,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge2,Other,over 12 years,265.64,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer2,A++,-,206,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer2,A+,-,270,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer2,A,-,408.076,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer2,B,-,465,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
Fridge/Freezer2,C,-,609.317,0,kWh/year,MTP/defra/amee 2008,value*fuel_electricity,
