heatingHomeDwellingType,heatingHomeNoOfBedrooms,heatingHomeFuel,heatingHomeAge,heatingType,heatingKgCO2Year,units,heatingSource,default
Detached House,1,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),7384,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,1930 - 1995,Boiler (average - 5-10yrs old),6000,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),5647,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,1930 - 1995,Room Heaters,9006,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,1930 - 1995,Boiler (Condensing),5333,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,1930 - 1995,Warm Air,6857,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Pre 1930,Boiler (old - 12 - 15yrs old),9429,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Pre 1930,Boiler (average - 5-10yrs old),7661,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Pre 1930,Boiler (new - less than 5 yrs old),7211,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Pre 1930,Room Heaters,11423,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Pre 1930,Boiler (Condensing),6810,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Pre 1930,Warm Air,8756,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Post 1995,Boiler (old - 12 - 15yrs old),4832,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Post 1995,Boiler (average - 5-10yrs old),3926,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Post 1995,Boiler (new - less than 5 yrs old),3695,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Post 1995,Room Heaters,5989,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Post 1995,Boiler (Condensing),3489,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Oil,Post 1995,Warm Air,4486,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,1930 - 1995,Boiler (old - 12 - 15yrs old),6936,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,1930 - 1995,Boiler (average - 5-10yrs old),5780,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,1930 - 1995,Boiler (new - less than 5 yrs old),5202,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,1930 - 1995,Boiler (Condensing),4729,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,Pre 1930,Boiler (old - 12 - 15yrs old),8866,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,Pre 1930,Boiler (average - 5-10yrs old),7388,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,Pre 1930,Boiler (new - less than 5 yrs old),6649,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,Pre 1930,Boiler (Condensing),6045,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,Post 1995,Boiler (old - 12 - 15yrs old),4533,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,Post 1995,Boiler (average - 5-10yrs old),3777,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,Post 1995,Boiler (new - less than 5 yrs old),3400,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,LPG,Post 1995,Boiler (Condensing),3091,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Biomass,1930 - 1995,Boiler (wood chip/pellets),819,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Biomass,1930 - 1995,Stove,2598,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Biomass,Pre 1930,Boiler (wood chip/pellets),1067,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Biomass,Pre 1930,Stove,2846,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Biomass,Post 1995,Boiler (wood chip/pellets),524,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Biomass,Post 1995,Stove,2303,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Electricity,1930 - 1995,Modern storage heaters (slim line),11546,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Electricity,1930 - 1995,old storage heaters (large volume),11546,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Electricity,1930 - 1995,room heaters (convector panel or radiant heaters),9954,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Electricity,Pre 1930,Modern storage heaters (slim line),15083,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Electricity,Pre 1930,old storage heaters (large volume),15083,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Electricity,Pre 1930,room heaters (convector panel or radiant heaters),12711,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Electricity,Post 1995,Modern storage heaters (slim line),7368,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Electricity,Post 1995,old storage heaters (large volume),7368,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Electricity,Post 1995,room heaters (convector panel or radiant heaters),6520,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,1930 - 1995,Boiler - manual feed,11818,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,1930 - 1995,Boiler automatic (gravity) feed,10833,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,1930 - 1995,Open fires,18835,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,1930 - 1995,Closed room heaters,10939,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,Pre 1930,Boiler - manual feed,15391,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,Pre 1930,Boiler automatic (gravity) feed,14108,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,Pre 1930,Open fires,24976,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,Pre 1930,Closed room heaters,14215,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,Post 1995,Boiler - manual feed,7561,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,Post 1995,Boiler automatic (gravity) feed,6931,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,Post 1995,Open fires,11519,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Coal,Post 1995,Closed room heaters,7038,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,1930 - 1995,Boiler (old - 12 - 15yrs old),6321,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,1930 - 1995,Boiler (average - 5-10yrs old),5267,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,1930 - 1995,Boiler (new - less than 5 yrs old),4862,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,1930 - 1995,Room Heaters,7219,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,1930 - 1995,Warm Air,5418,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,1930 - 1995,Back boiler,5835,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,1930 - 1995,Boiler (Condensing),4310,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),8079,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Pre 1930,Boiler (average - 5-10yrs old),6733,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Pre 1930,Boiler (new - less than 5 yrs old),6215,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Pre 1930,Room Heaters,9038,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Pre 1930,Warm Air,6925,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Pre 1930,Back boiler,7458,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Pre 1930,Boiler (Condensing),5509,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Post 1995,Boiler (old - 12 - 15yrs old),4131,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Post 1995,Boiler (average - 5-10yrs old),3442,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Post 1995,Boiler (new - less than 5 yrs old),3178,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Post 1995,Room Heaters,4954,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Post 1995,Warm Air,3541,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Post 1995,Back boiler,3813,kgCO2/year,defra/BRE/dgen 2007,
Detached House,1,Gas,Post 1995,Boiler (Condensing),2817,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),7384,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,1930 - 1995,Boiler (average - 5-10yrs old),6000,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),5647,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,1930 - 1995,Room Heaters,9006,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,1930 - 1995,Boiler (Condensing),5333,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,1930 - 1995,Warm Air,6857,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Pre 1930,Boiler (old - 12 - 15yrs old),9429,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Pre 1930,Boiler (average - 5-10yrs old),7661,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Pre 1930,Boiler (new - less than 5 yrs old),7211,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Pre 1930,Room Heaters,11423,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Pre 1930,Boiler (Condensing),6810,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Pre 1930,Warm Air,8756,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Post 1995,Boiler (old - 12 - 15yrs old),4832,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Post 1995,Boiler (average - 5-10yrs old),3926,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Post 1995,Boiler (new - less than 5 yrs old),3695,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Post 1995,Room Heaters,5989,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Post 1995,Boiler (Condensing),3489,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Oil,Post 1995,Warm Air,4486,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,1930 - 1995,Boiler (old - 12 - 15yrs old),6936,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,1930 - 1995,Boiler (average - 5-10yrs old),5780,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,1930 - 1995,Boiler (new - less than 5 yrs old),5202,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,1930 - 1995,Boiler (Condensing),4729,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,Pre 1930,Boiler (old - 12 - 15yrs old),8866,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,Pre 1930,Boiler (average - 5-10yrs old),7388,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,Pre 1930,Boiler (new - less than 5 yrs old),6649,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,Pre 1930,Boiler (Condensing),6045,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,Post 1995,Boiler (old - 12 - 15yrs old),4533,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,Post 1995,Boiler (average - 5-10yrs old),3777,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,Post 1995,Boiler (new - less than 5 yrs old),3400,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,LPG,Post 1995,Boiler (Condensing),3091,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Biomass,1930 - 1995,Boiler (wood chip/pellets),819,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Biomass,1930 - 1995,Stove,2598,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Biomass,Pre 1930,Boiler (wood chip/pellets),1067,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Biomass,Pre 1930,Stove,2846,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Biomass,Post 1995,Boiler (wood chip/pellets),524,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Biomass,Post 1995,Stove,2303,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,1930 - 1995,Boiler - manual feed,11818,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,1930 - 1995,Boiler automatic (gravity) feed,10833,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,1930 - 1995,Open fires,18835,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,1930 - 1995,Closed room heaters,10939,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,Pre 1930,Boiler - manual feed,15391,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,Pre 1930,Boiler automatic (gravity) feed,14108,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,Pre 1930,Open fires,24976,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,Pre 1930,Closed room heaters,14215,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,Post 1995,Boiler - manual feed,7561,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,Post 1995,Boiler automatic (gravity) feed,6931,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,Post 1995,Open fires,11519,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Coal,Post 1995,Closed room heaters,7038,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Electricity,1930 - 1995,Modern storage heaters (slim line),11546,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Electricity,1930 - 1995,old storage heaters (large volume),11546,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Electricity,1930 - 1995,room heaters (convector panel or radiant heaters),9954,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Electricity,Pre 1930,Modern storage heaters (slim line),15083,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Electricity,Pre 1930,old storage heaters (large volume),15083,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Electricity,Pre 1930,room heaters (convector panel or radiant heaters),12711,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Electricity,Post 1995,Modern storage heaters (slim line),7368,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Electricity,Post 1995,old storage heaters (large volume),7368,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Electricity,Post 1995,room heaters (convector panel or radiant heaters),6520,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,1930 - 1995,Boiler (old - 12 - 15yrs old),6321,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,1930 - 1995,Boiler (average - 5-10yrs old),5267,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,1930 - 1995,Boiler (new - less than 5 yrs old),4862,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,1930 - 1995,Room Heaters,7219,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,1930 - 1995,Warm Air,5418,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,1930 - 1995,Back boiler,5835,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,1930 - 1995,Boiler (Condensing),4310,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Pre 1930,Boiler (old - 12 - 15yrs old),8079,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Pre 1930,Boiler (average - 5-10yrs old),6733,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Pre 1930,Boiler (new - less than 5 yrs old),6215,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Pre 1930,Room Heaters,9038,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Pre 1930,Warm Air,6925,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Pre 1930,Back boiler,7458,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Pre 1930,Boiler (Condensing),5509,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Post 1995,Boiler (old - 12 - 15yrs old),4131,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Post 1995,Boiler (average - 5-10yrs old),3442,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Post 1995,Boiler (new - less than 5 yrs old),3178,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Post 1995,Room Heaters,4954,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Post 1995,Warm Air,3541,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Post 1995,Back boiler,3813,kgCO2/year,defra/BRE/dgen 2007,
Detached House,2,Gas,Post 1995,Boiler (Condensing),2817,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,1930 - 1995,Boiler (old - 12 - 15yrs old),8407,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,1930 - 1995,Boiler (average - 5-10yrs old),6831,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,1930 - 1995,Boiler (new - less than 5 yrs old),6429,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,1930 - 1995,Room Heaters,10232,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,1930 - 1995,Boiler (Condensing),6072,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,1930 - 1995,Warm Air,7806,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Pre 1930,Boiler (old - 12 - 15yrs old),10770,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Pre 1930,Boiler (average - 5-10yrs old),8751,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Pre 1930,Boiler (new - less than 5 yrs old),8236,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Pre 1930,Room Heaters,13025,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Pre 1930,Boiler (Condensing),7778,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Pre 1930,Warm Air,10001,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Post 1995,Boiler (old - 12 - 15yrs old),5457,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Post 1995,Boiler (average - 5-10yrs old),4434,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Post 1995,Boiler (new - less than 5 yrs old),4173,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Post 1995,Room Heaters,6746,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Post 1995,Boiler (Condensing),3941,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Oil,Post 1995,Warm Air,5067,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,1930 - 1995,Boiler (old - 12 - 15yrs old),7896,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,1930 - 1995,Boiler (average - 5-10yrs old),6580,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,1930 - 1995,Boiler (new - less than 5 yrs old),5922,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,1930 - 1995,Boiler (Condensing),5384,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,Pre 1930,Boiler (old - 12 - 15yrs old),10125,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,Pre 1930,Boiler (average - 5-10yrs old),8438,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,Pre 1930,Boiler (new - less than 5 yrs old),7594,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,Pre 1930,Boiler (Condensing),6904,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,Post 1995,Boiler (old - 12 - 15yrs old),5118,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,Post 1995,Boiler (average - 5-10yrs old),4265,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,Post 1995,Boiler (new - less than 5 yrs old),3839,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,LPG,Post 1995,Boiler (Condensing),3490,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Biomass,1930 - 1995,Boiler (wood chip/pellets),934,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Biomass,1930 - 1995,Stove,2828,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Biomass,Pre 1930,Boiler (wood chip/pellets),1221,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Biomass,Pre 1930,Stove,3114,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Biomass,Post 1995,Boiler (wood chip/pellets),593,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Biomass,Post 1995,Stove,2487,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,1930 - 1995,Boiler - manual feed,13477,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,1930 - 1995,Boiler automatic (gravity) feed,12354,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,1930 - 1995,Open fires,21591,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,1930 - 1995,Closed room heaters,12467,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,Pre 1930,Boiler - manual feed,17605,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,Pre 1930,Boiler automatic (gravity) feed,16138,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,Pre 1930,Open fires,28687,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,Pre 1930,Closed room heaters,16251,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,Post 1995,Boiler - manual feed,8557,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,Post 1995,Boiler automatic (gravity) feed,7844,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,Post 1995,Open fires,13135,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Coal,Post 1995,Closed room heaters,7957,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Electricity,1930 - 1995,Modern storage heaters (slim line),13168,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Electricity,1930 - 1995,old storage heaters (large volume),13168,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Electricity,1930 - 1995,room heaters (convector panel or radiant heaters),11328,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Electricity,Pre 1930,Modern storage heaters (slim line),17255,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Electricity,Pre 1930,old storage heaters (large volume),17255,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Electricity,Pre 1930,room heaters (convector panel or radiant heaters),14513,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Electricity,Post 1995,Modern storage heaters (slim line),8340,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Electricity,Post 1995,old storage heaters (large volume),8340,kgCO2/year,defra/BRE/dgen 2007,
Detached House,3,Electricity,Post 1995,room heaters (convector panel or radiant heaters),7360,kgCO2/year,defra/BRE/dgen 2007,
