name,energy,percentage,source,algorithm
winter,gas,0.38,EST/defra2007,seasonUsage/value
winter,electricity,0.26,EST/defra2007,seasonUsage/value
winter,electricityWithHeating,0.29,EST/defra2007,seasonUsage/value
winter,oil,0.39,EST/defra2007,seasonUsage/value
winter,solidFuel,0.37,EST/defra2007,seasonUsage/value
spring,gas,0.12,EST/defra2007,seasonUsage/value
spring,electricity,0.24,EST/defra2007,seasonUsage/value
spring,electricityWithHeating,0.21,EST/defra2007,seasonUsage/value
spring,oil,0.11,EST/defra2007,seasonUsage/value
spring,solidFuel,0.13,EST/defra2007,seasonUsage/value
summer,gas,0.12,EST/defra2007,seasonUsage/value
summer,electricity,0.24,EST/defra2007,seasonUsage/value
summer,electricityWithHeating,0.21,EST/defra2007,seasonUsage/value
summer,oil,0.11,EST/defra2007,seasonUsage/value
summer,solidFuel,0.13,EST/defra2007,seasonUsage/value
autumn,gas,0.38,EST/defra2007,seasonUsage/value
autumn,electricity,0.26,EST/defra2007,seasonUsage/value
autumn,electricityWithHeating,0.29,EST/defra2007,seasonUsage/value
autumn,oil,0.39,EST/defra2007,seasonUsage/value
autumn,solidFuel,0.37,EST/defra2007,seasonUsage/value
