name,Heating UK,,,,,,,,,,,,,
algFile,perMonth.js,,,,,,,,,,,,,
name,path,type,isDataItemValue,isDrillDown,unit,perUnit,default,choices,,,,,,
Age,age,TEXT,FALSE,FALSE,,,1930-1995,pre 1930,1930-1995,post 1995,,,,
Home type,homeType,TEXT,TRUE,TRUE,,,,,,,,,,
Fuel,fuel,TEXT,TRUE,TRUE,,,,,,,,,,
solidWallSpaceEnergy,solidWallSpaceEnergy,DECIMAL,TRUE,FALSE,kWh,year,,,,,,,,
solidWallWaterEnergy,solidWallWaterEnergy,DECIMAL,TRUE,FALSE,kWh,year,,,,,,,,
cavityWallSpaceEnergy,cavityWallSpaceEnergy,DECIMAL,TRUE,FALSE,kWh,year,,,,,,,,
cavityWallWaterEnergy,cavityWallWaterEnergy,DECIMAL,TRUE,FALSE,kWh,year,,,,,,,,
insulatedCavityWallSpaceEnergy,insulatedCavityWallSpaceEnergy,DECIMAL,TRUE,FALSE,kWh,year,,,,,,,,
insulatedCavityWallWaterEnergy,insulatedCavityWallWaterEnergy,DECIMAL,TRUE,FALSE,kWh,year,,,,,,,,
Base number of Bedrooms,baseNumberOfBedrooms,TEXT,TRUE,FALSE,,,,,,,,,,
Number Of Bedrooms,numberOfBedrooms,TEXT,FALSE,FALSE,,,3,0,1,2,3,4,5,more than 5
Source,source,TEXT,TRUE,FALSE,,,,,,,,,,
Heating type,heatingType,TEXT,FALSE,FALSE,,,,,,,,,,
spaceHeatingCO2,spaceHeatingCO2,DECIMAL,FALSE,FALSE,kg,year,,,,,,,,
waterHeatingCO2,waterHeatingCO2,DECIMAL,FALSE,FALSE,kg,year,,,,,,,,
isWaterHeatingElectric,isWaterHeatingElectric,TEXT,FALSE,FALSE,,,,,,,,,,
hasSolarHotWater,hasSolarHotWater,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasPhotovoltaic,hasPhotovoltaic,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasGroundSourceHeatPump,hasGroundSourceHeatPump,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasAirSourceHeatPump,hasAirSourceHeatPump,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasHydro,hasHydro,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasLoftInsulation,hasLoftInsulation,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasCavityWallInsulation,hasCavityWallInsulation,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasSolidWallInsulation,hasSolidWallInsulation,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasUnderFloorInsulation,hasUnderFloorInsulation,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasDoubleGlazing,hasDoubleGlazing,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasDraftExclusion,hasDraftExclusion,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasWindTurbine,hasWindTurbine,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasBiomass,hasBiomass,TEXT,FALSE,FALSE,,,false,false,true,,,,,
hasNoInsulation,hasNoInsulation,TEXT,FALSE,FALSE,,,true,false,true,,,,,
hasNoRenewables,hasNoRenewables,TEXT,FALSE,FALSE,,,true,false,true,,,,,
loft,loft,DECIMAL,TRUE,FALSE,,,,,,,,,,
cavityWall,cavityWall,DECIMAL,TRUE,FALSE,,,,,,,,,,
subtractCavityWall,subtractCavityWall,DECIMAL,TRUE,FALSE,,,,,,,,,,
solidWall,solidWall,DECIMAL,TRUE,FALSE,,,,,,,,,,
underFloor,underFloor,DECIMAL,TRUE,FALSE,,,,,,,,,,
doubleGlazing,doubleGlazing,DECIMAL,TRUE,FALSE,,,,,,,,,,
subtractDoubleGlazing,subtractDoubleGlazing,DECIMAL,TRUE,FALSE,,,,,,,,,,
draftExclusion,draftExclusion,DECIMAL,TRUE,FALSE,,,,,,,,,,
noLoftInsulation,noLoftInsulation,DECIMAL,TRUE,FALSE,,,,,,,,,,
subtractLoft100mm,subtractLoft100mm,DECIMAL,TRUE,FALSE,,,,,,,,,,
comment,comment,TEXT,FALSE,FALSE,,,,,,,,,,
groundSourceHeatPump,groundSourceHeatPump,DECIMAL,TRUE,FALSE,,,,,,,,,,
airSourceHeatPump,airSourceHeatPump,DECIMAL,TRUE,FALSE,,,,,,,,,,
solarHotWaterEnergySaved,solarHotWaterEnergySaved,DECIMAL,TRUE,FALSE,kWh,year,,,,,,,,
renewableElectricitySavedCO2,renewableElectricitySavedCO2,DECIMAL,FALSE,FALSE,kWh,year,,,,,,,,
