fuel,size,kgCO2PerKm,kgCO2PerKmUS,typicalDistance,units,source,algorithm
petrol,small,0.1809,0.224,14481,kgCO2/km ,UK NAEI / Company Reporting Guidelines; US EPA/dgen,1.15*value*user_distance_km
petrol,medium,0.2139,0.270,14481,kgCO2/km ,UK NAEI / Company Reporting Guidelines; US EPA/dgen,1.15*value*user_distance_km
petrol,large,0.2958,0.349,14481,kgCO2/km ,UK NAEI / Company Reporting Guidelines; US EPA/dgen,1.15*value*user_distance_km
diesel,small,0.1513,0.1513,14481,kgCO2/km ,NAEI / Company Reporting Guidelines,1.15*value*user_distance_km
diesel,medium,0.1881,0.1881,14481,kgCO2/km ,NAEI / Company Reporting Guidelines,1.15*value*user_distance_km
diesel,large,0.2580,0.2580,14481,kgCO2/km ,NAEI / Company Reporting Guidelines,1.15*value*user_distance_km
petrol hybrid,medium,0.1262,0.1262,14481,kgCO2/km ,VCA CO2 database is source of original gCO2/km data,1.15*value*user_distance_km
petrol hybrid,large,0.2240,0.2240,14481,kgCO2/km ,VCA CO2 database is source of original gCO2/km data,1.15*value*user_distance_km
lpg,medium,0.1881,0.1881,14481,kgCO2/km ,defra/amee 2008,1.15*value*user_distance_km
lpg,large,0.2580,0.2580,14481,kgCO2/km ,defra/amee 2008,1.15*value*user_distance_km
cng,medium,0.1881,0.1881,14481,kgCO2/km ,defra/amee 2008,1.15*value*user_distance_km
cng,large,0.2580,0.2580,14481,kgCO2/km ,defra/amee 2008,1.15*value*user_distance_km
average,average,0.2042,0.2700,14481,kgCO2/km,defra/amee 2008,1.15*value*user_distance_km
