manufacturer,model,description,transmission,engineCapacityCc,fuelType,litresPer100kmUrban,litresPer100kmExtraUrban,litresPer100kmCombined,kgCO2PerKm,noiseLeveldBA,gCOPerKm,gHCPerKm,gNOxPerKm,gParticulatesPerKm,units,source
FORD,Fiesta,1.25i 16V (13 inch tyre),M5,1242,Petrol,8.7,5.8,6.9,0.161,69.0,0.296,0.054,0.061,-,dumb,Part_A_Euro_IV_jul2001.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,Fiesta,1.25i 16V (14 inch tyre),M5,1242,Petrol,8.8,5.7,6.9,0.161,69.0,0.3,0.1,0.1,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,Fiesta,1.6i 16V,M5,1596,Petrol,9.5,6.0,7.3,0.171,71.0,0.5,0.1,-,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
FORD,New Galaxy,2.8i CD-V6,M6,2792,Petrol,14.8,8.5,10.8,0.259,73.0,0.3,0.1,0.1,-,dumb,Part_A_Euro_IV_may2004.csv from http://www.vcacarfueldata.org.uk/downloads/
SEAT,Alhambra,2.0 115 bhp,M6,1984,Petrol,13.0,7.7,9.7,0.233,74,0.814,0.067,0.07,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SEAT,Alhambra,1.8 20V Turbo,M6,1781,Petrol,13.4,7.4,9.6,0.230,74,0.545,0.061,0.017,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Fabia Hatch,Comfort 1.4 16V 100 bhp,M5,1390,Petrol,9.6,5.7,7.1,0.170,73,0.615,0.089,0.02,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Fabia Hatch,Elegance 1.4 16V 100 bhp,M5,1390,Petrol,9.6,5.7,7.1,0.170,73,0.615,0.089,0.02,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Octavia Hatch,GLXi 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.795,0.068,0.029,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Octavia Hatch,SLXi 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.795,0.068,0.029,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Octavia Estate,GLXi 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.795,0.068,0.029,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
SKODA,Octavia Estate,SLXi 2.0 115 bhp,M5,1984,Petrol,11.1,6.3,8.1,0.194,73,0.795,0.068,0.029,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VAUXHALL,Agila Model Year 2000,1.0 12V,M,973,Petrol,7.5,5.6,6.3,0.151,72,0.403,0.064,0.051,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VAUXHALL,Agila Model Year 2000,1.2 16V,M,1199,Petrol,8.0,5.7,6.5,0.156,73,0.348,0.055,0.032,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Lupo 3 Door Hatchback,E 1.0 50 bhp,M5,999,Petrol,7.8,4.7,5.8,0.139,72.5,0.209,0.071,0.025,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
VOLKSWAGEN,Lupo 3 Door Hatchback,E 1.4 75 bhp,M5,1390,Petrol,8.7,4.9,6.3,0.151,72.5,0.294,0.067,0.03,-,dumb,Part_A_Euro_IV_jul2000.csv from http://www.vcacarfueldata.org.uk/downloads/
