name,Plane Generic
algFile,perMonth.js
name,path,type,isDataItemValue,isDrillDown,default,choices
Distance Km Per Year,distanceKmPerYear,DECIMAL,false,false
IATA code 1,IATACode1,TEXT,false,false
IATA code 2,IATACode2,TEXT,false,false
Journeys Per Year,journeysPerYear,INTEGER,false,false
kgCO2 Per Passenger Journey,kgCO2PerPassengerJourney,DECIMAL,true,false
kgCO2 Per Passenger Km,kgCO2PerPassengerKm,DECIMAL,true,false
Lat1,lat1,DECIMAL,false,false,-999
Lat2,lat2,DECIMAL,false,false,-999
Long1,long1,DECIMAL,false,false,-999
Long2,long2,DECIMAL,false,false,-999
Number of passengers,numberOfPassengers,DECIMAL,false,false
Passenger Class,passengerClass,TEXT,false,false
Source,source,TEXT,true,false
Type,type,TEXT,true,true
Size,size,TEXT,true,true

